唉,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh"
爱护,to cherish; to treasure; to take care of; to love and protect
爱惜,to cherish; to treasure; to use sparingly
爱心,compassion; CL:片[pian4]
安慰,to comfort; to console; CL:個|个[ge4]
安装,install; erect; fix; mount; installation
岸,bank; shore; beach; coast; CL:個|个[ge4]
把握,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
摆,to arrange; to exhibit; to move to and fro; a pendulum
班主任,a teacher in charge of a class
办理,to handle; to transact; to conduct
棒,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
傍晚,in the evening; when night falls; towards evening; at night fall; at dusk
包裹,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4]
包含,to contain; to embody; to include
包子,steamed stuffed bun; CL:個|个[ge4]
薄,thin; cold in manner; indifferent; weak; light; infertile
宝贝,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
宝贵,valuable; precious; value; treasure; set store by
保持,to keep; to maintain; to hold; to preserve
保存,to conserve; to preserve; to keep; to save (a file etc) (computing)
保留,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance)
保险,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]
报告,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]"
悲观,pessimistic
背,"back; the backside; to do something behind someone's back; to learn and recite something by heart; unlucky
"
背景,background; backdrop; context; CL:種|种[zhong3]
被子,quilt; CL:床[chuang2]
本科,undergraduate course; undergraduate (adjective)
本领,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]"
本质,essence; nature; innate character; intrinsic quality
比例,proportion; scale
比如,for example; for instance; such as
彼此,each other; one another
毕竟,after all; all in all; when all is said and done; in the final analysis
避免,to avert; to prevent; to avoid; to refrain from
必然,inevitable; certain; necessity
必需,to need; to require; essential; indispensable
必要,necessary; essential; indispensable; required
编辑,to edit; to compile; editor; compiler
鞭炮,firecrackers; a string of small firecrackers; CL:枚[mei2]
便,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards
辩论,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]"
标点,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4]
标志,sign; mark; symbol; symbolize; to indicate; to mark
表面,surface; face; outside; appearance
表明,to make clear; to make known; to state clearly; to indicate; known
表情,(facial) expression; to express one's feelings; expression
表现,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)
丙,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl"
病毒,virus
玻璃,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]"
博物馆,museum
脖子,neck; CL:個|个[ge4]
不必,need not; does not have to
不断,unceasing; uninterrupted; continuous; constant
不见得,not necessarily; not likely
不耐烦,impatience; impatient
不要紧,unimportant; not serious; it doesn't matter; never mind; it looks all right; but
补充,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4]
布,cloth; to declare; to announce; to spread; to make known
不安,unpeaceful; unstable; uneasy; disturbed; restless; worried
不得了,desperately serious; disastrous; extremely; exceedingly
不好意思,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth)
不免,unavoidable
不然,not so; no; or else; otherwise; if not
不如,not equal to; not as good as; inferior to; it would be better to
不足,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
部门,department; branch; section; division; CL:個|个[ge4]
步骤,step; move; measure
财产,property; CL:筆|笔[bi3]
踩,to step on; to tread; to stamp; to press a pedal; to pedal (a bike)
采访,to interview; to gather news; to hunt for and collect; to cover
采取,"to adopt or carry out (measures, policies, course of action); to take"
彩虹,rainbow
参考,consultation; reference; to consult; to refer
参与,to participate (in sth)
餐厅,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]"
残疾,disabled; handicapped; deformity on a person or animal
惭愧,ashamed
操场,playground; sports field; drill ground; CL:個|个[ge4]
操心,to worry about
册,book; booklet; classifier for books
厕所,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]"
测验,"test; to test; CL:次[ci4],個|个[ge4]"
曾经,once; already; former; previously; ever; (past tense marker used before verb or clause)
插,to insert; stick in; pierce; to take part in; to interfere; to interpose
差别,difference; distinction; diversity; disparity
叉子,fork; CL:把[ba3]
拆,to tear open; to tear down; to tear apart; to open
产品,goods; merchandise; product; CL:個|个[ge4]
产生,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield
长途,long distance
常识,common sense; general knowledge; CL:門|门[men2]
抄,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate
朝,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards
朝代,dynasty; reign (of a king)
炒,saute; pan-fry; to fry; fried
吵架,to quarrel; to have a row; CL:頓|顿[dun4]
车库,garage
车厢,carriage; CL:節|节[jie2]
彻底,thorough; thoroughly; complete
沉默,silence; uncommunicative
趁,to avail oneself of; to take advantage of
称,to weigh; to state; to name; name; appellation; to praise
称呼,to call; to address as; appellation
称赞,to praise; to acclaim; to commend; to compliment
乘,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed
承担,to undertake; to assume (responsibility etc)
承认,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
承受,to bear; to support; to inherit
程度,degree (level or extent); level; CL:個|个[ge4]
程序,procedures; sequence; order; computer program
成分,composition; make-up; ingredient; element; component; one's social status; CL:個|个[ge4]
成果,result; achievement; gain; profit; CL:個|个[ge4]
成就,accomplishment; success; attain a result; achievement; CL:個|个[ge4]
成立,to establish; to set up; to be tenable; to hold water
成语,"Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:條|条[tiao2],本[ben3],句[ju4]"
成长,to mature; to grow; growth
诚恳,sincere; honest; cordial
吃亏,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately
持续,to continue; to persist; sustainable; preservation
池子,pond; CL:個|个[ge4]
尺子,rule; ruler (measuring instrument); CL:把[ba3]
翅膀,"wing; CL:個|个[ge4],對|对[dui4]"
冲,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with
充电器,battery charger
充分,full; abundant
充满,full of; brimming with; very full; permeated
重复,to repeat; to duplicate; CL:個|个[ge4]
宠物,house pet
抽屉,drawer
抽象,abstract
丑,"clown; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox"
臭,stench; stink; smelly; to smell (bad)
出版,to publish; to come off the press; to put out
出口,an exit; CL:個|个[ge4]; to speak; to export; (of a ship) to leave port
出色,remarkable; outstanding
出席,to attend; to participate; present
初级,junior; primary
除,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including
除非,"only if (..., or otherwise, ...); only when; only in the case that; unless"
除夕,(New Year's) Eve
处理,to handle; to treat; to deal with; to process; CL:個|个[ge4]
传播,to disseminate; to propagate; to spread
传递,to transmit; to pass on to sb else
传染,to infect; contagious
传说,legend; folklore; tradition; it is said; they say that...
传统,tradition; traditional; convention; conventional; CL:個|个[ge4]
窗帘,window curtains
闯,to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)
创造,to create; to bring about; to produce; CL:個|个[ge4]
吹,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through
磁带,"magnetic tape; CL:盤|盘[pan2],盒[he2]"
辞职,to resign
此外,besides; in addition; moreover; furthermore
次要,secondary
刺激,to provoke; to irritate; to upset; to stimulate; to excite; irritant
匆忙,hasty; hurried
从此,from now on; since then; henceforth
从而,thus; thereby
从前,previously; formerly; once upon a time
从事,to go for; to engage in; to undertake; to deal with; to handle; to do
醋,vinegar
促进,to promote (an idea or cause); to advance; boost
促使,to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)
催,to urge; to press; to prompt; to rush sb; to hasten sth; to expedite
存,exist; deposit; store; keep; survive
存在,to exist; to be
错误,error; mistake; mistaken; CL:個|个[ge4]
措施,measure; step (to be taken); CL:個|个[ge4]
答应,to promise; to agree; to reply; to respond
达到,to reach; to achieve; to attain
打工,to work (do manual labor for a living); a part time job; to moonlight
打交道,to come into contact with; to have dealings
打喷嚏,to sneeze
打听,to ask about; to inquire about
打招呼,to greet sb by word or action; to give prior notice
大方,expert; scholar; mother earth; a type of green tea
大象,elephant; CL:隻|只[zhi1]
大型,large scale; wide scale; broad scale
呆,foolish; stupid; expressionless; blank; to stay
贷款,a loan; to provide a loan (e.g. bank); CL:筆|笔[bi3]
待遇,treatment; pay; wages; status; salary
单纯,simple; pure; alone; merely
单调,monotonous
单独,alone; by oneself; on one's own
单位,a unit; unit (of measure); work unit (one's workplace); CL:個|个[ge4]
单元,unit; entrance number; staircase (for residential buildings)
担任,to hold a governmental office or post; to assume office of; to take charge of; to serve as
耽误,delay; hold-up; to waste time; to interfere with
胆小鬼,coward
淡,insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen
当代,the present age; the contemporary era
挡,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear
岛,"island; CL:個|个[ge4],座[zuo4]"
倒霉,have bad luck; be out of luck
导演,direct; director (film etc)
导致,to lead to; to create; to cause; to bring about
倒,to move backwards; converse
到达,to reach; to arrive
道德,virtue; morality; ethics; moral; CL:種|种[zhong3]
道理,reason; argument; sense; principle; basis; justification; CL:個|个[ge4]
登机牌,boarding pass
登记,to register (one's name)
等待,wait for; await
等候,waiting
等于,to equal; to be tantamount to
滴,a drop; to drip
的确,really; indeed
敌人,enemy; CL:個|个[ge4]
递,to hand over; to pass on sth; to gradually increase or decrease; progressively
地道,authentic; genuine; typical;
地理,geography
地区,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:個|个[ge4]"
地毯,carpet; rug
地位,position; status; place; CL:個|个[ge4]
地震,earthquake
点头,to nod
点心,light refreshments; pastry; dimsum (in Cantonese cooking); dessert
电池,"battery; CL:節|节[jie2],組|组[zu3]"
电台,transmitter-receiver; broadcasting station; radio station; CL:個|个[ge4]
钓,to fish with a hook and bait
丁,cubes of meat and vegetables; man;   members of a family; population; fourth of 10 heavenly stems 十天干; 
顶,"apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)"
冻,to freeze; to feel very cold; aspic or jelly
洞,cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[ge4]
动画片,cartoon; animation
逗,to stay; to stop; to pause (while reading); to tease (play with)
豆腐,tofu; bean curd
独立,independent; independence; to stand alone
独特,unique; distinct; having special characteristics
度过,spend; pass
短信,text message; SMS
堆,a pile; a mass; heap; stack
对比,contrast; balance; CL:個|个[ge4]
对待,to treat; treatment
